brand,model_type,transmission,fuel_type,owner_type,year,engine_cc,mileage_km,tax_annual,price_usd
Mercedes,SUV,Manual,Petrol,Third,2022,2323,59670,669.46,33472.94
VW,Coupe,Automatic,Petrol,Second,2013,1697,129036,93.18,4658.99
BMW,SUV,Automatic,Diesel,First,2014,2151,204501,57.10,2854.83
Suzuki,Coupe,Automatic,Hybrid,Second,2020,2097,74550,300.60,15029.78
Suzuki,Sedan,Automatic,Hybrid,Third,2018,1655,102522,129.30,6464.85
Suzuki,Hatchback,Automatic,Petrol,Third,2023,1805,34326,263.59,13179.27
Daihatsu,Sedan,Automatic,Hybrid,Third,2010,1079,278115,27.72,1386.15
Porsche,Sedan,Automatic,Petrol,Second,2014,1542,158323,397.65,19882.70
Porsche,Coupe,Automatic,Hybrid,Third,2011,2464,141596,391.37,19568.69
Mazda,SUV,Manual,Diesel,Third,2013,1493,216348,63.43,3171.53
Audi,Hatchback,Manual,Diesel,Second,2007,2195,300114,54.78,2739.18
Suzuki,Coupe,Automatic,Hybrid,Second,2022,2354,31743,460.01,23000.66
Suzuki,Sedan,Automatic,Diesel,Third,2015,2227,138980,28.59,1429.60
Suzuki,MPV,Manual,Hybrid,Third,2020,1579,70260,166.02,8300.91
Mercedes,MPV,Automatic,Hybrid,Third,2005,2160,305400,36.25,1812.75
Daihatsu,SUV,Automatic,Hybrid,Third,2009,1815,282688,32.90,1645.09
Toyota,Sedan,Manual,Diesel,Second,2014,1802,116776,64.78,3239.23
Suzuki,Hatchback,Automatic,Hybrid,Third,2006,1448,349638,59.35,2967.66
Honda,MPV,Manual,Petrol,Second,2020,1623,92870,169.03,8451.63
Honda,MPV,Automatic,Hybrid,Second,2016,1579,158679,58.68,2934.02
BMW,Hatchback,Automatic,Petrol,Third,2023,2068,30542,637.25,31862.56
Daihatsu,Sedan,Automatic,Petrol,Third,2024,1707,12615,299.08,14954.02
Audi,SUV,Automatic,Diesel,Third,2011,1921,200130,65.73,3286.55
Mercedes,Coupe,Manual,Diesel,Third,2016,2650,155106,196.93,9846.54
Toyota,Hatchback,Manual,Hybrid,First,2015,1685,105080,86.33,4316.54
Audi,Coupe,Manual,Diesel,First,2006,1831,237595,70.53,3526.62
BMW,Hatchback,Automatic,Hybrid,Second,2022,3576,30327,822.97,41148.40
Daihatsu,Sedan,Manual,Petrol,Third,2009,2270,306896,56.60,2829.99
VW,Coupe,Manual,Diesel,Third,2016,1446,178488,78.87,3943.35
Toyota,Hatchback,Automatic,Petrol,First,2014,1663,134959,45.38,2269.22
Daihatsu,Coupe,Automatic,Diesel,Third,2014,1878,178563,68.18,3408.91
Mazda,MPV,Manual,Diesel,First,2015,1348,172220,51.44,2571.94
Daihatsu,Hatchback,Automatic,Diesel,First,2013,1483,191940,51.62,2580.77
